CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32331;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32059;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32405;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32331;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32310;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32405;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32405;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32547;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32547;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32297;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32547;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32547;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32294;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32557;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32201;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32405;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32603;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32603;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32557;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32603;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32331;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32557;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32620;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32603;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32620;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32620;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32557;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32636;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32557;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32603;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32636;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32620;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32636;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32726;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32636;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32726;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32726;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32748;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32726;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32748;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32748;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32748;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32636;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32764;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32547;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32764;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32726;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32764;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32813;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32813;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32892;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32813;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32892;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32748;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32405;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32892;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32813;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32813;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32892;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32957;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32957;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32957;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32892;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32957;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33095;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33095;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33095;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33095;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33212;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33212;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33212;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33212;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33095;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33222;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33222;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33222;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32764;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33261;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33222;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33222;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32764;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33261;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33261;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33261;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33329;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33329;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33329;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33329;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33374;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33329;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32620;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33261;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33374;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33421;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33212;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32957;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33421;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33421;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33421;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33374;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33586;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33586;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33374;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33669;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33669;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33374;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33669;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33669;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33669;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33586;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33695;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33695;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33421;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33695;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33712;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33695;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33586;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33712;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33586;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33712;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33792;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33792;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33792;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33792;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33892;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33712;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33712;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33892;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33892;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33892;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33792;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33987;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33892;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-33987;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33695;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-34125;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33987;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-34217;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33987;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33962;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-33962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-34217;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-34217;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-34125;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-34217;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-34125;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-33987;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-34125;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-34217;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-34125;Erreur;
