CHAMP;CODE;DESIGNATION;IDINTERNECLT;LIBELLE;TYPE;VALEURACTUEL
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006149;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006168;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006104;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007001;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006098;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006104;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006168;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006104;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006098;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006091;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006091;Format incorrect;Erreur;ND
mobile;OBL002;;10200006091;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006098;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006091;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006089;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006083;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006083;Format incorrect;Erreur;ND
mobile;OBL002;;10200006083;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006098;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006083;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006083;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006082;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006098;Date invalide;Erreur;ND
mobile;OBL002;;10200006082;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006082;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006078;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006078;Format incorrect;Erreur;ND
mobile;OBL002;;10200006078;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006104;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200006082;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006078;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006068;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006078;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006104;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006068;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006068;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006067;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006089;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200006067;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006067;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006067;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006067;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006051;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006051;Format incorrect;Erreur;ND
mobile;OBL002;;10200006051;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006051;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006051;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006048;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006091;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006082;Date invalide;Erreur;ND
secActEcon;OBL002;;10200006048;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006048;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006048;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006038;Date invalide;Erreur;ND
secActEcon;OBL002;;10200006038;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006038;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200006030;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006030;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006030;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006068;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006038;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006029;Date invalide;Erreur;ND
mobile;OBL002;;10200006029;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006029;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006029;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006068;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200005484;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006030;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006038;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005484;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005484;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005480;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005480;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005484;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006030;Date invalide;Erreur;ND
mobile;OBL002;;10200005480;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005480;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005480;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005478;Format incorrect;Erreur;ND
mobile;OBL002;;10200005478;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005478;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005476;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006029;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200005476;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005476;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005460;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005460;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200005460;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006048;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005476;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005460;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005460;Syntaxe spécifique non respectée;Erreur;ND
