CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540601;Erreur;56
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540599;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540596;Erreur;31
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540598;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540598;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540602;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540609;Erreur;ND
dateMEP;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;540606;Erreur;
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540598;Erreur;916
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540599;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540599;Erreur;201
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540601;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540596;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540592;Erreur;33
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540592;Erreur;803
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540592;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540596;Erreur;513
